Variable:,tas
Country:,Chile
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,13.10,13.32,12.00,9.99,7.93,5.35,5.14,6.30,6.75,9.21,10.70,12.74
1982,13.88,12.85,11.60,10.15,8.24,4.15,4.63,6.12,7.88,9.00,10.86,13.22
1983,14.25,13.20,12.36,10.23,7.39,4.24,4.84,5.77,6.64,9.66,11.43,13.75
1984,13.50,12.63,11.74,8.91,6.00,3.23,3.86,4.87,7.78,9.36,10.81,12.39
1985,13.50,13.20,11.70,9.08,7.49,6.34,5.17,6.12,7.66,9.22,11.69,12.75
1986,13.41,12.85,11.19,9.27,7.38,5.48,5.66,6.14,7.19,9.91,10.63,13.13
1987,13.82,14.17,12.60,10.22,6.58,6.41,6.20,5.52,7.20,9.87,12.01,12.46
1988,13.18,13.76,12.36,9.28,6.62,5.13,4.03,5.49,7.00,8.64,11.65,12.52
1989,13.62,14.28,11.59,9.52,6.85,6.26,5.20,5.87,6.87,9.72,11.69,12.92
1990,13.51,13.68,11.52,8.88,7.25,5.54,5.15,6.68,7.07,9.52,10.92,12.52
1991,13.33,13.37,12.28,9.95,7.97,5.72,4.87,5.17,7.78,8.41,10.96,11.18
1992,14.00,12.53,12.60,9.63,6.79,5.05,3.59,6.04,7.26,8.89,10.87,12.53
1993,13.47,13.49,12.72,9.52,6.98,5.41,4.81,6.53,7.31,9.45,10.88,12.64
1994,14.02,12.74,12.25,9.57,8.09,6.45,4.86,6.21,8.08,9.24,11.37,13.43
1995,13.21,12.85,11.70,10.10,7.92,5.36,3.99,4.88,7.46,9.34,11.51,14.18
1996,12.84,12.70,12.29,9.04,8.21,4.35,5.18,6.52,7.78,9.59,11.30,12.46
1997,13.62,12.30,12.55,10.66,8.15,5.92,6.14,6.14,7.92,9.11,11.22,12.84
1998,13.70,13.55,11.95,9.90,8.46,6.49,6.69,6.40,6.70,9.94,11.19,13.06
1999,13.53,13.89,11.69,8.96,7.37,4.66,4.54,6.13,7.98,9.60,11.11,12.36
2000,13.43,12.63,11.08,9.90,7.07,5.24,3.99,5.77,6.36,9.29,10.19,12.25
2001,13.30,13.82,11.62,9.12,6.68,5.45,4.33,6.28,7.10,9.71,10.37,13.30
2002,13.42,13.43,11.42,9.13,7.07,3.68,5.20,6.18,7.68,9.19,10.68,12.46
2003,13.58,13.29,12.36,9.09,7.78,6.41,5.45,5.68,7.85,9.81,11.57,11.87
2004,14.42,13.87,12.84,9.83,6.09,6.41,5.13,6.12,8.10,9.60,11.00,13.06
2005,13.50,14.50,11.78,8.93,6.77,5.19,5.28,5.70,6.91,8.67,11.42,12.58
2006,13.89,13.89,11.86,9.72,7.33,6.23,6.13,5.94,7.74,9.89,10.89,12.70
2007,13.63,13.04,11.92,9.64,5.76,4.58,4.06,4.07,7.49,9.27,10.60,12.53
2008,14.02,14.18,12.36,9.13,6.67,5.09,5.96,5.49,7.53,9.56,12.07,13.58
2009,13.79,13.64,12.78,10.97,7.83,5.63,4.73,6.64,6.79,9.14,10.31,12.18
2010,13.74,12.97,12.89,9.37,7.12,5.82,4.01,5.05,7.40,9.26,10.86,12.10
2011,13.53,13.37,11.69,9.78,7.40,5.56,4.72,5.13,8.06,9.08,11.71,13.52
2012,14.69,13.22,12.61,9.68,7.82,5.48,4.56,6.17,8.39,9.41,11.72,12.37
2013,14.59,13.77,11.49,10.43,7.84,6.44,5.24,5.19,6.75,9.79,11.17,13.67
2014,13.78,12.87,11.21,9.31,7.64,5.73,5.42,7.18,8.21,10.32,10.88,12.41
2015,13.96,13.58,13.18,11.08,8.39,6.47,5.81,6.76,7.54,8.30,10.50,12.78
2016,14.37,14.31,12.79,8.93,7.35,5.35,5.53,6.95,8.11,9.69,11.55,13.27
2017,14.70,14.68,12.34,9.90,7.75,5.51,6.07,6.55,7.70,9.11,11.34,13.07
2018,13.90,14.34,11.90,10.49,7.88,4.58,4.25,6.02,8.32,8.95,11.44,12.99
2019,13.39,13.89,11.74,10.38,7.57,5.90,5.65,5.88,7.42,9.15,11.97,13.27
2020,14.52,13.77,13.72,10.80,7.97,5.74,4.37,5.86,8.06,9.87,12.07,13.01
2021,13.45,13.67,12.35,10.95,7.51,5.34,5.72,6.45,8.55,9.92,11.41,13.55
